episode,score,epsilon
354,-248.743187866667,0.00998645168764533
355,-250.10925925937062,0.00998645168764533
356,-254.69692728445514,0.00998645168764533
357,-269.70863412089227,0.00998645168764533
358,-271.45344588995823,0.00998645168764533
359,-252.8528333107111,0.00998645168764533
360,-249.1164276690982,0.00998645168764533
361,-241.0531260295604,0.00998645168764533
362,-251.8524845710268,0.00998645168764533
363,-254.8537088763631,0.00998645168764533
364,-246.73852160807482,0.00998645168764533
365,-259.16055364194034,0.00998645168764533
366,-269.15876877085856,0.00998645168764533
367,-239.83959510732018,0.00998645168764533
368,-254.48964604481088,0.00998645168764533
369,-304.2341324288533,0.00998645168764533
370,-271.8584295229731,0.00998645168764533
371,-260.9335741022791,0.00998645168764533
372,-264.3025542260802,0.00998645168764533
373,-263.0377128759928,0.00998645168764533
374,-253.96334285820905,0.00998645168764533
375,-258.2113000239326,0.00998645168764533
376,-275.18798668314236,0.00998645168764533
377,-246.92990480557688,0.00998645168764533
378,-259.57751033418344,0.00998645168764533
379,-246.91806209620844,0.00998645168764533
380,-255.61503217620884,0.00998645168764533
381,-260.3435432186363,0.00998645168764533
382,-250.6943255512091,0.00998645168764533
383,-259.77034255661505,0.00998645168764533
384,-270.3622937439057,0.00998645168764533
385,-273.44963111560816,0.00998645168764533
386,-257.06686526201344,0.00998645168764533
387,-234.83241160761168,0.00998645168764533
388,-257.801488817006,0.00998645168764533
389,-269.19095183895786,0.00998645168764533
390,-267.7812358161627,0.00998645168764533
391,-252.96423943142045,0.00998645168764533
392,-254.12238620886893,0.00998645168764533
393,-247.78647598550265,0.00998645168764533
394,-257.33627428088477,0.00998645168764533
395,-253.03035092651734,0.00998645168764533
396,-252.34742623838727,0.00998645168764533
397,-258.76998204380635,0.00998645168764533
398,-248.88304536860485,0.00998645168764533
399,-273.83089284104045,0.00998645168764533
400,-274.0246741164604,0.00998645168764533
401,-263.1722065430376,0.00998645168764533
402,-266.9572026956421,0.00998645168764533
403,-270.7426731360928,0.00998645168764533
404,-256.0567519789477,0.00998645168764533
405,-262.07940158718975,0.00998645168764533
406,-272.3312649988705,0.00998645168764533
407,-258.9021833014919,0.00998645168764533
408,-258.4394538213337,0.00998645168764533
409,-250.04086623045816,0.00998645168764533
410,-302.5052850340267,0.00998645168764533
411,-300.80621268730613,0.00998645168764533
412,-259.2092758445872,0.00998645168764533
413,-257.9644561802312,0.00998645168764533
414,-252.5030118055874,0.00998645168764533
415,-259.52971908454674,0.00998645168764533
416,-245.16955820655446,0.00998645168764533
417,-265.0656378638133,0.00998645168764533
418,-328.2384796255829,0.00998645168764533
419,-275.68693017469303,0.00998645168764533
420,-254.9094732653618,0.00998645168764533
421,-242.84188480135037,0.00998645168764533
422,-261.17432786562915,0.00998645168764533
423,-244.50102421461776,0.00998645168764533
424,-265.5618781935,0.00998645168764533
425,-258.82636884675304,0.00998645168764533
